,気圧(hPa),ジオポテンシャル高度(m),風速(m/s),風向(°),識別符
0,1016.0,7,6.8,120,特異点
1,983.0,298,8.0,127,
2,949.3,602,10.0,130,
3,917.3,898,9.0,139,
4,884.8,1206,8.0,155,
5,850.1,1547,4.0,166,特異点
6,818.4,1869,2.0,271,特異点
7,788.3,2185,2.0,264,特異点
8,759.1,2502,4.0,297,
9,729.9,2830,5.0,315,特異点
10,702.7,3145,6.0,276,特異点
11,677.1,3451,6.0,285,特異点
12,652.3,3757,6.0,270,特異点
13,628.0,4066,10.0,277,
14,604.5,4374,10.0,272,
15,580.6,4698,9.0,262,特異点
16,557.8,5015,10.0,252,
17,535.7,5335,7.0,236,特異点
18,515.2,5642,5.0,261,特異点
19,495.4,5947,6.0,263,特異点
20,476.4,6249,6.0,244,
21,457.7,6557,4.0,224,特異点
22,438.9,6875,6.0,232,
23,421.0,7188,7.0,259,
24,404.0,7496,7.0,263,特異点
25,387.1,7811,8.0,263,
26,370.8,8127,7.0,280,特異点
27,354.5,8457,5.0,316,特異点
28,339.1,8778,6.0,306,
29,323.0,9126,9.0,314,
30,307.2,9481,9.0,302,
31,293.1,9809,7.0,306,特異点
32,279.7,10133,8.0,331,特異点
33,265.0,10500,6.0,314,
34,252.3,10831,7.0,305,
35,238.5,11204,5.0,305,特異点
36,226.6,11540,6.0,314,
37,214.5,11895,7.0,322,
38,203.7,12225,11.0,337,特異点
39,193.0,12567,16.0,330,
40,183.3,12891,18.0,332,
41,173.9,13220,20.0,343,特異点
42,165.3,13536,20.0,335,特異点
43,157.3,13844,16.0,340,
44,149.6,14155,15.0,338,
45,142.2,14468,18.0,330,
46,135.3,14773,16.0,323,特異点
47,128.4,15091,19.0,304,特異点
48,121.2,15441,20.0,319,
49,114.8,15767,19.0,322,
50,108.9,16083,17.0,337,
51,103.6,16379,17.0,345,特異点
52,98.4,16683,16.0,342,
53,93.4,16989,14.0,347,
54,88.6,17297,14.0,337,特異点
55,83.8,17621,16.0,324,特異点
56,79.3,17941,17.0,339,
57,75.0,18264,19.0,355,
58,70.9,18591,17.0,21,特異点
59,66.8,18939,12.0,65,特異点
60,62.8,19301,2.0,51,特異点
61,59.5,19619,4.0,11,特異点
62,56.5,19926,7.0,33,特異点
63,53.5,20255,8.0,29,特異点
64,50.6,20595,6.0,58,特異点
65,47.9,20933,9.0,33,特異点
66,45.4,21266,12.0,51,
67,43.0,21605,13.0,74,
68,40.7,21949,13.0,89,
69,38.5,22296,12.0,101,特異点
70,36.3,22665,12.0,90,
71,34.3,23022,11.0,84,
72,32.5,23365,15.0,89,特異点
73,30.7,23730,13.0,99,
74,28.9,24117,10.0,92,特異点
75,27.3,24486,11.0,84,
76,25.8,24856,13.0,91,特異点
77,24.4,25224,11.0,122,
78,23.0,25613,10.0,137,特異点
79,21.8,25966,7.0,175,特異点
80,20.5,26370,4.0,242,特異点
81,19.3,26765,3.0,4,特異点
82,18.2,27148,7.0,74,特異点
83,17.2,27519,14.0,92,特異点
84,16.2,27915,11.0,106,
85,15.1,28382,12.0,123,特異点
86,14.2,28794,11.0,80,特異点
87,13.4,29183,12.0,104,特異点
88,12.6,29596,10.0,82,
89,11.9,29981,7.0,69,
90,11.1,30450,12.0,49,特異点
91,10.5,30827,16.0,48,特異点
92,9.9,31227,7.0,65,特異点
93,9.4,31582,3.0,113,特異点
94,8.9,31958,7.0,59,特異点
95,8.2,32523,10.0,74,
96,7.7,32959,7.0,89,特異点
97,7.3,33332,2.0,180,特異点
98,6.9,33728,6.0,140,特異点
99,6.5,34150,1.0,199,特異点
