,気圧(hPa),ジオポテンシャル高度(m),風速(m/s),風向(°),識別符
0,1009.9,8,3.9,160,特異点
1,974.8,318,6.0,176,
2,939.2,640,6.0,180,
3,901.4,994,9.0,198,
4,865.5,1343,10.0,205,
5,832.9,1670,10.0,215,
6,801.9,1992,9.0,222,
7,771.8,2315,9.0,229,特異点
8,742.1,2643,11.0,225,特異点
9,715.0,2951,14.0,241,
10,687.9,3271,14.0,247,
11,658.4,3632,11.0,247,特異点
12,631.3,3977,10.0,269,
13,605.7,4314,10.0,271,特異点
14,580.1,4662,11.0,253,
15,555.2,5013,12.0,252,特異点
16,533.2,5334,13.0,255,
17,510.8,5672,15.0,242,
18,490.8,5985,14.0,250,特異点
19,470.5,6316,14.0,254,
20,451.2,6642,13.0,269,
21,432.1,6976,14.0,269,
22,413.3,7315,16.0,278,特異点
23,394.8,7662,19.0,270,
24,376.1,8024,19.0,270,
25,357.9,8391,20.0,261,
26,340.0,8765,23.0,264,特異点
27,322.5,9144,21.0,271,
28,305.8,9524,17.0,272,
29,289.7,9904,17.0,274,
30,273.9,10292,17.0,269,特異点
31,259.5,10661,14.0,258,
32,245.5,11035,16.0,246,
33,232.8,11390,18.0,241,
34,219.6,11775,19.0,236,
35,207.4,12148,18.0,235,特異点
36,195.7,12522,17.0,249,
37,184.3,12902,15.0,251,
38,173.2,13290,11.0,271,特異点
39,163.4,13650,19.0,289,
40,154.4,13998,19.0,300,特異点
41,146.4,14321,17.0,310,
42,138.8,14645,18.0,311,
43,131.6,14966,18.0,310,
44,124.7,15289,17.0,315,
45,118.0,15618,14.0,307,特異点
46,111.7,15941,17.0,298,
47,105.6,16271,20.0,308,特異点
48,99.5,16618,15.0,329,
49,93.4,16984,7.0,338,特異点
50,87.9,17339,5.0,306,特異点
51,83.1,17665,9.0,311,
52,78.7,17983,10.0,329,
53,74.2,18328,6.0,348,特異点
54,69.9,18679,3.0,344,特異点
55,65.8,19035,3.0,310,特異点
56,62.1,19377,6.0,328,特異点
57,58.6,19720,6.0,318,特異点
58,55.3,20069,8.0,22,特異点
59,52.1,20434,7.0,54,特異点
60,49.1,20799,10.0,64,特異点
61,46.2,21176,12.0,97,特異点
62,43.7,21520,13.0,84,特異点
63,41.2,21889,11.0,100,特異点
64,38.8,22268,7.0,87,
65,36.6,22637,13.0,69,特異点
66,34.5,23013,12.0,90,特異点
67,32.6,23375,12.0,71,特異点
68,30.7,23760,13.0,86,
69,28.9,24149,10.0,96,
70,27.2,24541,11.0,99,
71,25.5,24957,7.0,110,
72,24.0,25348,11.0,125,特異点
73,22.6,25737,7.0,107,
74,21.2,26153,9.0,92,
75,19.9,26567,9.0,72,特異点
76,18.7,26974,12.0,87,
77,17.6,27370,12.0,97,特異点
78,16.5,27796,14.0,90,
79,15.5,28212,14.0,93,
80,14.4,28704,17.0,91,特異点
