,気圧(hPa),ジオポテンシャル高度(m),風速(m/s),風向(°),識別符
0,1009.8,8,8.9,190,特異点
1,978.4,287,15.0,206,
2,942.5,616,16.0,209,
3,904.8,971,16.0,219,
4,868.5,1326,16.0,227,特異点
5,836.7,1649,12.0,244,
6,805.6,1975,10.0,257,
7,774.5,2312,9.0,273,特異点
8,743.0,2664,11.0,274,
9,713.6,3003,11.0,271,特異点
10,685.2,3341,11.0,286,
11,655.7,3703,11.0,284,特異点
12,626.9,4069,10.0,269,
13,599.1,4435,12.0,264,特異点
14,574.1,4778,15.0,270,
15,551.1,5104,16.0,262,特異点
16,529.5,5420,16.0,251,
17,507.2,5758,18.0,253,
18,485.7,6098,19.0,248,
19,465.5,6429,19.0,250,
20,445.1,6775,21.0,255,特異点
21,425.1,7126,21.0,258,
22,405.9,7477,22.0,264,
23,388.0,7816,19.0,269,
24,370.8,8153,20.0,278,
25,354.3,8487,20.0,277,
26,337.3,8847,20.0,278,
27,319.6,9236,19.0,285,
28,302.4,9630,18.0,284,
29,286.4,10012,20.0,296,特異点
30,271.3,10389,19.0,311,
31,256.1,10786,16.0,310,特異点
32,241.0,11199,16.0,307,
33,227.5,11584,16.0,305,
34,214.8,11963,17.0,289,特異点
35,203.3,12320,17.0,280,
36,193.3,12645,19.0,283,特異点
37,182.7,13002,23.0,296,
38,172.7,13355,27.0,294,
39,162.9,13716,29.0,294,特異点
40,154.3,14047,29.0,296,
41,145.5,14401,27.0,298,
42,136.4,14786,25.0,303,特異点
43,128.8,15126,28.0,290,
44,121.8,15456,28.0,291,特異点
45,114.2,15834,20.0,306,
46,105.5,16295,12.0,303,特異点
47,98.8,16671,11.0,268,
48,93.0,17016,11.0,230,特異点
49,87.9,17335,12.0,249,特異点
50,83.3,17640,9.0,316,
51,78.7,17968,4.0,32,特異点
52,74.0,18324,2.0,254,特異点
53,69.7,18671,4.0,341,特異点
54,65.8,19006,7.0,22,
55,62.2,19335,7.0,47,
56,58.7,19676,8.0,88,
57,55.3,20029,7.0,115,特異点
58,52.1,20383,7.0,177,
59,49.1,20739,4.0,244,
60,46.3,21097,4.0,322,特異点
61,43.7,21454,4.0,360,
62,41.4,21791,4.0,46,
63,39.0,22165,5.0,91,特異点
64,36.8,22528,3.0,360,特異点
65,34.8,22881,3.0,62,特異点
66,32.9,23240,4.0,63,特異点
67,31.0,23623,9.0,85,
68,29.2,24009,12.0,99,特異点
69,27.6,24372,12.0,98,
70,26.1,24732,11.0,96,特異点
71,24.5,25142,11.0,114,特異点
72,22.9,25579,14.0,108,
73,21.5,25988,15.0,105,
74,20.2,26394,14.0,97,特異点
75,19.0,26793,13.0,124,特異点
76,17.8,27221,8.0,98,
77,16.8,27604,8.0,64,特異点
78,15.8,28012,8.0,102,特異点
79,14.8,28448,12.0,114,特異点
80,13.9,28868,13.0,100,
81,13.0,29319,11.0,100,特異点
82,12.1,29803,9.0,103,特異点
