,気圧(hPa),ジオポテンシャル高度(m),風速(m/s),風向(°),識別符
0,1018.8,8,5.2,60,特異点
1,1018.7,8,1.0,59,特異点
2,1017.9,15,7.0,67,特異点
3,1015.3,37,8.0,38,特異点
4,998.3,183,9.0,61,特異点
5,969.2,437,8.0,65,
6,934.2,750,9.0,58,
7,898.7,1077,7.0,66,特異点
8,877.1,1281,4.0,38,
9,863.9,1409,3.0,29,特異点
10,836.6,1680,2.0,32,特異点
11,804.4,2012,4.0,292,特異点
12,776.1,2312,8.0,277,特異点
13,746.3,2637,7.0,304,特異点
14,717.7,2959,8.0,303,
15,690.4,3276,9.0,290,
16,663.9,3595,9.0,275,
17,638.2,3918,11.0,275,
18,612.5,4250,13.0,270,特異点
19,586.9,4592,14.0,270,
20,562.6,4929,16.0,274,
21,539.8,5260,16.0,275,
22,517.5,5592,15.0,279,
23,495.7,5930,18.0,276,
24,474.0,6278,20.0,280,
25,453.6,6618,21.0,281,特異点
26,434.5,6950,25.0,276,
27,415.3,7295,25.0,278,
28,395.3,7666,26.0,276,
29,374.8,8062,27.0,277,
30,354.9,8465,27.0,278,
31,335.5,8873,29.0,284,
32,316.9,9284,30.0,282,
33,298.9,9698,29.0,284,特異点
34,281.5,10119,29.0,287,
35,265.1,10534,30.0,286,
36,249.4,10949,31.0,282,
37,234.1,11373,32.0,282,
38,219.5,11798,33.0,284,
39,205.9,12218,34.0,289,極大風速面
40,192.8,12639,33.0,288,
41,180.3,13063,33.0,287,
42,168.7,13475,33.0,288,
43,158.0,13882,33.0,286,特異点
44,147.5,14298,31.0,281,
45,137.2,14729,32.0,279,
46,127.0,15183,30.0,281,
47,117.4,15643,27.0,285,
48,110.0,16013,24.0,275,
49,102.2,16434,25.0,274,特異点
50,94.8,16852,18.0,278,
51,88.1,17275,12.0,280,特異点
52,82.2,17674,14.0,300,
53,77.7,17995,10.0,321,
54,77.3,18026,10.0,318,特異点
